기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20254,D,발달상권,3120107,공덕역(공덕오거리),CS300002,편의점,570203884,61787,433687127,136516757,83002938,84744658,95115784,89554216,81269531,75815333,60701424,30893398,64027506,102142372,100216206,176448999,96475403,252174114,309953983,10146482,103841812,183427688,127797125,92762050,44152939,48272,13515,9274,9864,10666,9487,8981,6961,6554,3712,11392,10592,10462,16504,9125,30651,30568,1835,11355,20284,12986,10700,4058
20254,D,발달상권,3120108,신정네거리역,CS300002,편의점,1129200462,99033,765383513,363816949,137851145,137521357,169638230,157606931,162765850,189305899,174511050,45941865,82796190,175958417,230445513,409818139,184240338,541846779,587353683,13369611,202814599,294065362,256374977,219427893,143148020,68395,30638,12544,12783,15034,13436,14598,15633,15005,6538,13581,13604,16302,31434,17574,57829,41204,1315,18442,28842,21216,17998,11220
20254,D,발달상권,3120109,서울남부지방법원,CS300002,편의점,143627462,22647,113735369,29892093,21099113,22479741,23451984,24745530,21959001,17688545,12203548,5562114,31558330,31741353,27115531,34540648,13109486,94570972,35839338,781793,12071979,30853849,36303347,26836434,23562906,18185,4462,3303,3829,3947,3589,3517,2729,1733,860,5400,5021,4025,5458,1883,14804,6591,306,2722,5634,5308,3915,3510
20254,D,발달상권,3120110,목동역 8번출구,CS300002,편의점,2026143553,275341,1471652692,554490861,267027102,283640117,314453316,292419540,314112617,301210134,253280727,211263740,248331587,263410761,290298936,618215544,394622985,1092104337,924280069,44160658,391240073,526513180,463777964,383892166,206800366,203874,71467,36681,39279,44063,40735,43116,38973,32494,29124,46838,35496,34422,78783,50678,159910,114622,11900,53560,72038,59531,52551,24954
20254,D,발달상권,3120111,목동사거리,CS300002,편의점,389268837,58374,286761327,102507510,50786167,55089377,63083366,60012288,57790129,55792178,46715332,36884235,55778534,44495265,51317579,124983501,75809723,252845089,136423748,4179039,60522008,100928307,108028495,74082612,41528376,43035,15339,8280,7783,9545,8630,8797,8462,6877,5167,9728,7768,8460,17355,9896,36092,22282,1382,11433,14068,15102,11100,5289
20254,D,발달상권,3120112,등촌역,CS300002,편의점,996666556,126545,737456249,259210307,127961332,147695462,147487746,150740138,163571571,141984239,117226068,113750453,127027616,104996806,117737507,321591335,211562839,649052091,310744723,3960630,154321395,326773099,213654888,145783204,115303596,92685,33860,17223,18377,19445,18520,19120,18540,15320,12945,19926,15346,15721,37952,24655,83421,41581,1035,23114,43253,26462,17171,13966
20254,D,발달상권,3120113,오목교역,CS300002,편의점,1018091901,200340,732750842,285341059,131558386,139896938,154600238,146012621,160682659,155442313,129898746,74890728,177098107,125895349,138887548,301831652,199488517,624417536,393674365,34352541,173436392,224600809,288168577,216628286,80905296,143324,57016,26091,26644,31264,28411,30914,31377,25639,11893,39761,27579,30513,56215,34379,112032,88308,10014,39817,42090,53868,40165,14386
20254,D,발달상권,3120114,목동신시가지,CS300002,편의점,2917885571,463247,2100682767,817202804,423647037,417151058,435577641,407509025,416798006,426294265,390908539,123493805,419841673,476650952,580745499,897282941,419870701,1563726762,1239968965,118144627,273987661,545370453,956582641,685311573,224298770,338277,124970,65392,67143,70849,66605,68288,66207,58763,17799,71224,73894,93690,146248,60392,252163,202687,37416,45972,82293,159669,103323,26177
20254,D,발달상권,3120115,김포공항역(김포공항),CS300002,편의점,1486133012,95624,926061265,560071747,160531618,170854377,185988253,190886244,217800773,281174604,278897143,3234520,92674276,325108856,445265042,527511607,92338711,509476215,976656797,18693027,290509855,458744951,361869330,246575803,109740046,63728,31896,11317,11738,13053,13175,14445,16223,15673,582,16093,21574,24164,27446,5765,39701,55923,1036,20741,31259,21749,13303,7536
20254,D,발달상권,3120118,마곡역(마곡),CS300002,편의점,1433196005,119682,1028593074,404602931,184850371,196501449,229546264,208863157,208831833,214750664,189852267,23816519,106228003,270351452,358241058,524879680,149679293,596770137,784152319,8012895,295522047,474872673,332261320,197373024,72880497,92024,27658,17192,17985,20225,18497,18125,14470,13188,2991,17992,22857,25570,37362,12910,63966,51824,754,23906,43228,27326,15279,5298
20254,D,발달상권,3120119,발산역(마곡),CS300002,편의점,3616544499,466228,2754096868,862447631,504249184,548025683,579828328,541489960,580503713,486544172,375903459,313469653,502225791,602217006,597698091,1034557811,566376147,2012027251,1498340431,67120893,805343737,1176946306,707346675,550667714,202942358,359003,107225,66362,70058,77156,72620,72807,58819,48406,43544,87905,82251,71715,115102,65711,286330,170868,12305,100674,154696,92572,68339,28613
