상권_코드,상권_코드_명,연평균_매출_금액,연평균_매출_건수,분기_수,연평균_매출_금액_log
3120049,왕십리역(왕십리),1716051917.75,331589.75,4,21.263292093236306
3120051,뚝섬역,1146261532.75,206227.25,4,20.85977164364354
3120052,성수역,5833383718.75,647253.5,4,22.486863066841895
3120053,건대입구역(건대),5094061367.0,622514.0,4,22.35134126054536
3120054,어린이대공원역,1390152363.5,237914.5,4,21.052679192829956
3120055,군자역,2105181670.5,323515.5,4,21.46766760510731
3120056,구의역,1628407761.75,236893.25,4,21.210868541684412
3120057,아차산역,583535489.75,82115.25,4,20.18461583174864
3120058,구의사거리,517915333.5,78949.5,4,20.065322339953656
3120059,구삼강변맛길,557986055.75,106632.75,4,20.139844532130155
3120060,강변역(테크노마트),2148388323.25,291896.0,4,21.487983781355044
3120061,올림픽대교북단,230067.0,8.0,1,12.346130196382754
3120062,신설동역,2292526110.25,388343.5,4,21.552920151888262
3120063,청량리역(청량리),2513125936.25,385427.0,4,21.644793208557797
3120064,경희대학교(경희대),384185151.75,63612.75,4,19.766635162965855
3120065,회기역,1534087649.75,142930.5,4,21.151201676948823
3120066,장한평역(장한평),4342981681.0,602906.75,4,22.19182697266842
3120067,장안동사거리,1933680414.25,267987.25,4,21.38269097484728
3120069,상봉역,1591194348.0,160206.0,4,21.187750734089988
3120070,한성대입구역,1192772205.0,191616.5,4,20.8995460196678
3120071,성북구청,308607212.5,50798.5,4,19.547579872539135
3120072,성신여대,922728155.25,170191.25,4,20.642845227147692
3120073,미아사거리,994927392.25,154884.5,4,20.71818032085227
3120074,안암역,259914191.0,41841.75,4,19.37586210373843
3120075,월곡역,629274859.75,66884.5,4,20.26007869974117
3120076,수유역,7631053196.75,1193315.5,4,22.75549170649812
3120078,미아사거리역,2537421659.75,207887.5,4,21.65441430822691
3120079,창동역,1504639496.5,186005.0,4,21.13181916990894
3120080,마들역,691736239.25,77202.0,4,20.35471528521555
3120081,노원역,3618449332.75,612912.75,4,22.009311410168834
3120082,상계백병원,1248136836.75,123914.25,4,20.944917746516015
3120083,등나무근린공원,1640088902.0,191125.25,4,21.218016286459598
3120084,공릉역,440377442.25,74374.5,4,19.90314274272269
3120085,은행사거리,1076683536.25,131548.25,4,20.79715135466255
3120086,태릉입구역,967738025.5,159357.5,4,20.69047197483193
3120088,구산역,410347345.5,68542.5,4,19.83251454558799
3120089,구파발역,135000000.0,27800.75,4,18.72078534381011
3120090,연신내역,2699331213.0,210484.5,4,21.71626988075583
3120091,본서부병원,2335427998.75,93461.0,4,21.571461008807805
3120092,불광역,520913518.25,71246.25,4,20.071094596016565
3120093,연희동,1004115149.25,126847.75,4,20.727372543123447
3120094,"신촌역(신촌역, 신촌로터리)",7658782368.75,1264629.25,4,22.759118848500837
3120096,"이화여대(이대역, 이대)",1745520114.25,293510.25,4,21.280318408504836
3120097,충정로역,328887556.0,53652.0,4,19.6112264782758
3120098,DMC(디지털미디어시티),4512766656.75,654214.5,4,22.230176251989676
3120099,월드컵경기장역(월드컵경기장),231000000.0,11840.0,4,19.25792827281507
3120100,망원역,1327119599.0,143429.75,4,21.006276716343702
3120101,합정역,3365381802.0,486299.25,4,21.936807256608148
3120102,서교동(홍대),1573964895.0,257044.25,4,21.17686368427869
3120103,홍대입구역(홍대),9017016427.5,896197.25,4,22.922379343409954
3120104,연남동(홍대),4588518588.25,515921.75,4,22.246823061484612
3120105,상수역(홍대),894551761.5,161914.75,4,20.611833326762543
3120106,마포역,990897203.75,163927.75,4,20.714121358104773
3120107,공덕역(공덕오거리),624626774.75,69232.5,4,20.252664870530346
3120108,신정네거리역,1218766971.0,114667.25,4,20.92110550592296
3120109,서울남부지방법원,159649514.5,23457.75,4,18.888491442356916
3120110,목동역 8번출구,2040872180.75,291638.75,4,21.43664309350685
3120111,목동사거리,378700149.5,57401.5,4,19.752255290284143
3120112,등촌역,957634139.0,128976.5,4,20.679976363201607
3120113,오목교역,1069780848.5,214342.75,4,20.790719650891663
3120114,목동신시가지,3007788869.25,500701.25,4,21.824471051159044
3120115,김포공항역(김포공항),1484897616.0,97040.75,4,21.11861166204313
3120118,마곡역(마곡),1026523077.75,104531.75,4,20.749443277122303
3120119,발산역(마곡),3643232527.5,478454.0,4,22.016137181785712
3120120,화곡역,2591108582.25,304890.5,4,21.675351645502385
3120121,까치산역,1388709582.25,177502.0,4,21.051640795524317
3120122,강서구청,3922410734.0,453080.25,4,22.08997228514234
3120123,오류동역,3794876276.0,389599.5,4,22.056917645681533
3120125,구로역,897423027.25,123908.25,4,20.61503791225336
3120127,구로구청,1232337945.5,189232.25,4,20.932178971666417
3120128,신도림역,786030356.75,71462.75,4,20.482505972739233
3120129,구로디지털단지,4084868504.25,630354.5,4,22.130555375082995
3120130,구로디지털단지역,2998883585.25,373441.25,4,21.821505918437357
3120131,가산디지털단지,17476302602.25,2684018.0,4,23.58411166324676
3120132,독산동,1870143806.5,262808.0,4,21.349281167262486
3120134,구로전화국,281876167.75,36265.5,4,19.456978414554083
3120135,양평역,273696731.5,50724.25,4,19.427531235686082
3120136,영등포구청역,2582387440.0,433256.5,4,21.671980172722627
3120138,당산2동(영등포우체국),304290506.0,52543.0,1,19.533493418192617
3120139,대림3동사거리,2161509994.0,281456.75,4,21.4940728861649
3120140,문래동주민센터,223197211.75,41256.5,4,19.223566300714246
3120142,대림역,1064571836.75,140886.0,4,20.785838524990268
3120143,당산역,2054463698.25,259047.75,4,21.4432806772341
3120144,영중로,287230048.75,43580.5,4,19.47579401971375
3120145,영등포역(영등포),4992306243.0,539792.5,4,22.33116381308702
3120146,한강성심병원,45000000.0,6243.75,4,17.622173069956816
3120147,보라매역,563845242.25,91590.25,4,20.150290380409416
3120148,국회의사당역(국회의사당),3216329417.25,419252.75,4,21.891506614065314
3120149,여의도역(여의도),9854733905.75,1210293.75,4,23.011217776349426
3120151,보라매공원,2251141402.25,301056.5,4,21.534703214867832
3120152,신대방삼거리역,1655736851.75,167826.5,4,21.227511974938484
3120153,노량진역(노량진),5984568572.75,1186965.75,4,22.51245008877166
3120154,장승배기역,526903177.75,83279.25,4,20.082527368089767
3120156,"총신대입구역(이수, 총신대)",1696821776.0,192085.75,4,21.252022795290806
3120157,신림역(신림),5393321789.75,617891.5,4,22.408427319748753
3120158,녹두거리(대학동),1080966112.75,131258.5,4,20.801121027979868
3120159,서울대입구역,5711540214.5,580315.5,4,22.465754564258546
3120160,사당역(사당),3107548400.5,440365.0,4,21.857099956931783
3120162,방배동카페골목,506153059.25,73543.5,4,20.042349672123326
3120164,내방역,708964527.75,90785.25,4,20.37931605327307
3120165,서래마을카페거리(서래마을),791794137.75,127535.5,4,20.48981199017142
3120166,방배역,1577048667.25,234822.0,4,21.178821005738367
3120167,고속터미널(고속터미널역),353967774.25,75189.5,4,19.6847164365873
3120169,서초역,1833133484.25,302287.0,4,21.329292626529462
3120170,삼호가든사거리,499446461.0,107411.25,4,20.02901096712517
3120171,서초3동사거리,2997435163.0,490360.25,4,21.82102281460699
3120172,교대입구교차로,1673324897.25,213975.0,4,21.23807844108278
3120173,교대역(법원.검찰청),4461971903.5,742424.25,4,22.21885663632106
3120175,남부터미널역,1771747008.75,276824.25,4,21.295231907915102
3120178,신사역,2754284963.25,421602.5,4,21.736423704757588
3120179,양재역,1781770251.75,315020.25,4,21.300873231055892
3120181,교육개발원입구사거리,793377244.75,111921.0,4,20.491809386215547
3120182,"양재시민의숲역(양재동꽃시장, aT센터)",360662284.25,59912.25,4,19.703452580523443
3120183,양재천카페거리,155872.0,10.0,1,11.956796852106116
3120184,포이사거리(삼호물산),2838042959.0,381522.5,4,21.766380552990412
3120185,논현역,2069992337.75,319131.0,4,21.450810743129882
3120186,가로수길,3172908806.75,270899.5,4,21.87791460906198
3120187,신논현역,5401170105.5,813966.0,4,22.409881453432423
3120188,압구정역,1769826195.25,327977.75,4,21.294147184501742
3120189,강남역,18095184225.5,2566970.75,4,23.61891167498241
3120190,강남을지병원,2796228725.75,409015.0,4,21.751537462961398
3120191,학동역,2542039732.5,340439.25,4,21.65623264039403
3120192,뱅뱅사거리,5858049378.75,812265.5,4,22.491082514771872
3120193,도산공원교차로,573157760.75,84708.25,4,20.16667156270002
3120194,언주역(차병원),2739356796.25,338662.75,4,21.730988984260147
3120195,성수대교남단,346875876.75,54893.5,4,19.664477572912222
3120196,서울세관,795675900.75,106287.25,4,20.49470250229156
3120197,역삼역,9682405791.75,1386080.5,4,22.993576239664744
3120198,구역삼세무서,1022303562.0,158448.25,4,20.745324312999465
3120199,경복아파트교차로,3153451717.75,447473.25,4,21.871763473581343
3120200,학동사거리,1987701079.5,219275.25,4,21.410244571953776
3120201,도곡1동,632259777.0,96076.25,4,20.264810908796104
3120202,압구정로데오역(압구정로데오),2213038821.75,224320.0,4,21.517632440902567
3120203,강남구청역,2667998375.25,361177.0,4,21.704594356397653
3120204,르네상스호텔사거리,1308307444.0,181678.25,4,20.992000112055756
3120205,매봉역,487676485.0,82146.5,4,20.00516280545192
