기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20251,11215730,군자동,CS300002,편의점,1641554975,244024,1176792661,464762314,229744536,218129052,234449442,238493521,255976110,241045113,223717201,229243445,213351568,202520650,201590082,465139952,329709278,1130899466,499523802,12425164,328785429,518642745,286366921,246591464,237611544,176346,67678,34263,32957,35658,35544,37924,34507,33171,30860,36186,32523,31932,67426,45097,162946,80443,2544,61202,76387,37750,36222,29283
20251,11215740,중곡1동,CS300002,편의점,3116083348,396520,2269691718,846391630,419140039,439964873,444937988,430191756,535457062,478257903,368133727,547408242,366597415,373121833,368819904,807130415,653005539,2083470430,1027297612,22332355,670010384,881336354,611710877,584148763,341229311,279532,116988,53168,51077,53957,56399,64931,64765,52223,60501,53513,42210,54726,111533,74037,277561,118321,3157,87108,113335,72809,72481,46994
20251,11215750,중곡2동,CS300002,편의점,2012302408,275697,1399438426,612863982,282716612,244278674,277989318,268882568,325571254,323651449,289212533,242000677,259231617,238261232,235859425,612861741,424087716,1278843653,733458755,9598463,289112358,718221011,433592963,347857800,213919813,194937,80760,38963,35324,38605,39168,42877,42001,38759,29977,41878,35124,35093,79304,54321,177096,98601,1830,46859,96383,56501,46281,27843
20251,11215760,중곡3동,CS300002,편의점,1139356489,143835,808631270,330725219,160387227,155103645,163578156,152204689,177357553,167099744,163625475,82488961,152880655,153448756,176587254,373893933,200056930,667917999,471438490,4983667,151874416,411836606,247839263,201186741,121635796,104616,39219,21081,19196,21387,20452,22500,19854,19365,10269,26892,21259,20856,42164,22395,89779,54056,657,19349,54499,31493,23336,14501
20251,11215770,중곡4동,CS300002,편의점,1546836562,202972,1090728787,456107775,209788786,196691177,230052734,218011938,236184152,240474170,215633605,193834316,224124552,168873414,194319928,460345354,305338998,1048108051,494203633,6220189,194419276,537839688,308261526,310338726,185232279,143637,59335,28941,26546,29661,28733,29756,30554,28781,22234,33121,25702,27333,56470,38112,133255,69275,1832,29901,66525,41176,39494,23602
20251,11215780,능동,CS300002,편의점,1018855999,152785,720571386,298284613,143388178,127468625,133366661,145744977,170602945,175562162,122722451,111980399,113275308,133968538,140890278,296041417,222700059,659840398,357058842,18368113,182974831,332730519,198978389,178784950,105062438,111229,41556,21804,19696,21469,23673,24587,23839,17717,14926,21970,24034,23439,39311,29105,96938,55641,5219,29053,48397,30871,25881,13158
20251,11215810,광장동,CS300002,편의점,2108596225,283874,1442444201,666152024,281009975,246685534,282826573,294976041,336946078,352247884,313904140,98062391,330711198,378059244,378470111,603127743,320165538,1253962271,839845640,15305384,285630151,491620520,532698843,504851576,263701438,199501,84373,38242,35488,40469,41635,43667,44661,39712,13208,54883,55072,46452,72838,41421,177724,105095,3463,44543,67844,67767,59942,39261
20251,11215820,자양1동,CS300002,편의점,2466572515,343483,1752691795,713880720,350409858,316862285,332158941,377586474,375674237,388712148,325168572,316562368,350698561,319699522,337675257,674430579,467506228,1580062803,886509712,17797189,444342933,614194616,478908128,503597041,407732608,247526,95957,50900,45173,47893,51074,52486,50245,45712,43911,60230,47233,43091,87012,62006,218704,124779,3793,79361,92080,59474,62745,46030
20251,11215830,자양2동,CS300002,편의점,965650576,129287,651338913,314311663,128472880,115944721,122544419,141354911,143021982,153388153,160923510,138420734,128222014,94460636,135712718,281075350,187759124,693595424,266222827,10876466,143576196,276726546,230593573,163791950,134253519,89314,39973,17964,16474,17042,18644,19190,20395,19578,17112,19009,14595,18298,36511,23762,90747,37473,2566,23000,35885,31334,20704,14733
20251,11215840,자양3동,CS300002,편의점,3437034436,410641,2161548939,1275485497,426509794,375820570,410229442,426058928,522930205,674856944,600628553,172557008,327232148,446628055,756873508,1152515631,581228086,1669302333,1642539324,99284691,821010708,786267803,684192910,592219331,328866214,258462,152179,49795,45518,50470,50971,61708,81943,70236,22478,49776,55787,86465,129547,66588,224126,180728,14517,98678,99524,78410,69694,44027
20251,11215847,자양4동,CS300002,편의점,3919149497,489632,2611913907,1307235590,507425457,459881483,513393712,504304033,626909222,721043992,586191598,308810333,436005145,512864089,668187186,1260974015,732308729,2074303930,1798128145,90516862,1251655810,1098540045,557549086,572847826,301322447,330056,159576,64374,58055,65538,65194,76895,86029,73547,42335,67158,65080,81782,147002,86275,287961,199373,10239,153715,149157,72076,63745,38402
