상권_코드,상권_코드_명,연평균_매출_금액,연평균_매출_건수,분기_수,연평균_매출_금액_log,편의점_점포수,점포당_평균매출,점포당_평균매출_log
3110064,효창공원앞역 2번,245634699.0,38166.75,4,19.319356030902195,5,49126939.8,17.70991813475244
3110066,서울역 15번,1172889284.0,171527.0,4,20.882736015973837,5,234577856.8,19.273298106950115
3110067,배문고등학교,204877190.0,26705.75,4,19.13792128929689,4,51219297.5,17.75162694281992
3110068,남영역 1번,1052184949.75,174823.75,4,20.77413474450711,5,210436989.95,19.164696835874622
3110069,숙대입구,530500068.5,91355.75,4,20.089330647026785,10,53050006.85,17.786745570997866
3110074,서울역 12번,993000000.0,17824.5,4,20.716241223016496,4,248250000.0,19.329946864917755
3110075,숙대입구역 1번,234220803.5,36625.0,4,19.27177483737725,5,46844160.7,17.662336942021053
3110079,후암동주민센터,482447354.25,70497.0,4,19.994382364500417,5,96489470.85,18.384944460357378
3110080,해방촌예술마을,166735303.75,25211.25,4,18.931918111440275,7,23819329.10714286,16.98600799837014
3110081,해방촌 남동측,659193084.0,93243.5,4,20.306527046516653,6,109865514.0,18.514767584873628
3110084,경리단길북측,276594345.5,35507.75,4,19.43806253772357,5,55318869.1,17.828624639751087
3110085,경리단길남측,1224835463.25,151059.75,4,20.92607235702409,6,204139243.875,19.134312891878213
3110088,오산고등학교,537462503.25,68269.5,4,20.1023695559979,3,179154167.75,19.00375727105098
3110090,한국폴리텍대학서울정수캠퍼스,150336396.25,19800.0,4,18.828385989411554,2,75168198.125,18.13523881550336
3110095,한강진역 3번,212551600.25,34813.5,4,19.174695346262222,2,106275800.125,18.481548170407017
3110102,옥수역 6번,219344276.75,34918.25,4,19.20615309793282,4,54836069.1875,17.81985875049006
3110115,상왕십리역 3번,218241328.75,29226.75,4,19.20111202566349,2,109120664.375,18.50796484968563
3110124,뚝섬역교차로,795175369.25,119059.75,4,20.49407323980131,4,198793842.3125,19.107778882454173
3110125,사근동살곶이상점가,361312930.0,63478.25,4,19.705254985679463,6,60218821.666666664,17.91349553028983
3110128,성원중학교,640397031.75,85852.0,4,20.27759890564387,5,128079406.35,18.668160999455893
3110131,성수동카페거리,594770246.0,102376.5,4,20.203685749443054,4,148692561.5,18.817391393367128
3110134,성수119안전센터,1653168962.75,217076.25,4,21.22595986698624,6,275528160.4583333,19.43420040078268
3110136,경수초등학교,131950923.25,23306.25,4,18.697940625436253,10,13195092.325,16.39535560064938
3110137,성수초등학교,2540534842.75,419714.25,4,21.655640464215956,9,282281649.1944444,19.458415890028675
3110139,자양4동주민센터,530746470.25,73022.0,4,20.08979500991508,9,58971830.027777776,17.89257044765197
3110140,건대입구역 6번,1312802484.5,204441.25,4,20.995429991019897,10,131280248.45,18.692844904881415
3110141,건대입구역 1번,436053099.0,65954.75,4,19.893274582888456,4,109013274.75,18.506980228648462
3110142,화양사거리,1575113008.25,221676.5,4,21.177592858554725,11,143192091.6590909,18.779697592105105
3110144,어린이대공원역 4번,99927039.0,16961.75,4,18.41995087766476,4,24981759.75,17.033656546566768
3110145,장안초등학교,333591416.75,60167.75,4,19.62542750194888,2,166795708.375,18.93228032438661
3110146,신자초등학교,173428171.25,21925.75,4,18.971274078837123,3,57809390.416666664,17.872661801701163
3110147,능동우편취급국,492651764.5,75974.5,4,20.015313124406436,7,70378823.5,18.069402987530108
3110150,중곡1동 마을마당,136683308.5,19826.0,4,18.73317719840959,5,27336661.7,17.12373931524022
3110151,자양한강도서관,667881568.0,93004.0,4,20.31962142386668,6,111313594.66666667,18.527861962124984
3110154,광진정말공원,419933345.25,59709.0,4,19.855606557242844,5,83986669.05,18.246168654334063
3110155,광진구청,331812653.75,51916.5,4,19.620081074685903,4,82953163.4375,18.23378672260726
3110156,군자역 5번,335415349.0,51571.0,4,19.630880172555397,7,47916478.428571425,17.68497004138835
3110157,자양동우체국,269705882.5,38072.0,4,19.412842602851622,5,53941176.5,17.803404705248493
3110158,중곡3동주민센터,224963196.75,28571.25,4,19.231447381234837,6,37493866.125,17.439687934232637
3110159,구의역 4번,394887674.0,58926.0,4,19.794111915336803,4,98721918.5,18.407817561814007
3110162,군자역 4번,442851354.25,62483.25,4,19.90874473050648,1,442851354.25,19.908744730506477
3110163,성자초등학교,323374668.25,43693.0,4,19.594322175663606,3,107791556.08333333,18.495709893180273
3110165,국립정신건강센터,412306254.5,51671.5,4,19.837276969766737,4,103076563.625,18.450982615922992
3110166,구의1동주민센터,460808980.5,67312.25,4,19.94849415825844,4,115202245.125,18.562199803648838
3110167,용마초등학교,457597969.75,57512.75,4,19.941501563470204,5,91519593.95,18.3320636597774
3110168,대원고등학교,136122634.75,21704.0,4,18.72906677083884,4,34030658.6875,17.342772431757897
3110169,성동초등학교,248125699.5,34575.25,4,19.329446032575547,3,82708566.5,18.230833751967868
3110170,동대부여고,61704535.5,8243.5,2,17.937868011294334,5,12340907.1,16.328430163685287
3110172,광진초등학교,498799820.25,66644.0,4,20.02771541341003,3,166266606.75,18.929103128751542
3110174,아차산역 1번,338260637.75,44552.75,4,19.63932727684872,5,67652127.55,18.02988937623982
3110176,해오름공원,214777658.25,27166.0,4,19.185113907973843,5,42955531.65,17.575676014163655
3110180,광진정보도서관,148674838.0,21437.0,1,18.817272190657405,2,74337419.0,18.124125016823548
3110181,신설동역 9번,192174000.75,33648.0,4,19.073911778701785,6,32029000.125,17.282152335491816
3110182,용두희망어린이공원,134031702.25,18848.25,4,18.71358692134976,3,44677234.083333336,17.614974647603493
3110187,제기동역 6번,670660430.5,96202.5,4,20.323773503504388,7,95808632.92857143,18.377863363395477
3110188,용두동신동아아파트,221721836.0,33913.0,1,19.216934167706164,5,44344367.2,17.607496273312684
3110189,제기동역 1번,415644507.75,54469.0,4,19.845340906618688,2,207822253.875,19.152193728464646
3110190,고대앞사거리,427118583.5,66519.75,4,19.87257224809377,3,142372861.16666666,18.773959964108204
3110193,고려대역 4번,179835937.0,29484.5,4,19.007555537670743,4,44958984.25,17.621261193232723
3110204,간데메공원,187503792.25,28396.25,4,19.04930963383677,3,62501264.083333336,17.95069735583511
3110206,텃골근린공원,442389126.25,65757.5,4,19.90770043112988,6,73731521.04166667,18.115940973204093
3110207,시립대앞사거리,81114263.0,11835.0,1,18.211369385247902,2,40557131.5,17.518222217016245
3110210,서울시립대,1329017034.25,202830.0,4,21.00770543469168,5,265803406.85,19.398267525267325
3110212,답십리초등학교,276754667.0,41133.25,4,19.43864199661944,3,92251555.66666667,18.34002971517795
3110214,경희대후문,1029978750.75,208995.5,4,20.752804009606237,9,114442083.41666667,18.555579440037167
3110215,회기역 1번,280508711.5,47177.75,4,19.452115343050718,3,93502903.83333333,18.35350306151251
3110219,삼육보건대학교,1060169018.25,139554.25,4,20.78169418448189,8,132521127.28125,18.702252649404773
3110220,외대앞역 1번,1468299834.25,264488.75,4,21.10737099372857,7,209757119.17857143,19.161460848759614
3110226,장안1동주민센터,3271417222.5,416971.25,4,21.90848912964615,18,181745401.25,19.01811737694651
3110229,장평중학교,595934565.25,82598.25,4,20.20564143083132,6,99322427.54166667,18.413881969993447
3110230,장안현대홈타운1차아파트,1593544815.75,209611.0,4,21.18922681615162,5,318708963.15,19.579788906227645
3110232,동대부고,107515734.25,14956.0,4,18.493147769238902,4,26878933.5625,17.106853436021908
3110233,중랑역 1번,175502534.5,22467.0,4,18.98316404805928,5,35100506.9,17.373726158416872
3110236,신묵초등학교,159704355.0,20591.5,2,18.888834888956023,7,22814907.85714286,16.94292477747013
3110237,메가박스 상봉,160745575.0,20177.25,4,18.89533339970796,9,17860619.444444444,16.698108872139827
3110242,면목5동주민센터,334622118.25,44234.0,4,19.628512450877185,5,66924423.65,18.019074550396866
3110243,중랑노인종합복지관,755565816.25,92705.75,4,20.442977453354438,6,125927636.04166667,18.651217990743937
3110246,월드순복음교회,182281982.75,22373.5,4,19.02106540728296,3,60760660.916666664,17.922453129586863
3110247,먹골역 1번,587442058.0,90550.0,2,20.1912881761403,5,117488411.6,18.581850270515382
3110249,중화역 1번,115841316.25,17727.0,4,18.56773185782501,7,16548759.464285715,16.62182176056469
3110250,화랑대역 7번,202317363.5,29208.0,2,19.125348133847307,2,101158681.75,18.43220095823009
3110251,장안중학교,275095942.75,35849.5,4,19.432630481147783,4,68773985.6875,18.04633613093318
3110253,중곡초등학교,603889701.25,76966.25,4,20.218902127054584,4,150972425.3125,18.832607770902488
3110254,오거리공원,682188072.0,96003.75,4,20.34081594465321,8,85273509.0,18.261374413234478
3110255,상봉역 4번,1104720904.25,163904.25,4,20.822858565579445,11,100429173.11363636,18.424963301833134
3110257,상봉역 7번,220003865.75,30625.5,4,19.20915568029854,2,110001932.875,18.51600850428397
3110261,사가정역 4번,424699901.25,64939.5,4,19.866893365121005,7,60671414.46428572,17.920983230193315
3110262,상봉역 3번,1329535952.0,173494.0,4,21.008095810778887,7,189933707.42857143,19.062185666236427
3110263,면목역 1번,442114653.5,59150.75,4,19.90707980572505,5,88422930.7,18.29764190233838
3110264,면목역 2번,1642775628.25,211849.25,4,21.21965310505108,10,164277562.825,18.917068017535566
3110267,망우역 2번,253438085.5,41744.0,4,19.350630116451352,10,25343808.55,17.04804505896894
3110274,서일대학교,274136347.25,39364.0,4,19.429136161930263,5,54827269.45,17.819698264087442
3110277,러스크서울병원,685407599.5,90306.5,4,20.345524256488325,8,85675949.9375,18.266082725021388
3110278,망우본동주민센터,408040761.25,64732.25,4,19.826877634853503,7,58291537.321428575,17.880967500502607
3110285,홍대부중,87379038.25,12301.25,4,18.285765986348157,4,21844759.5625,16.89947165956144
3110286,한성대입구역 5번,269296922.25,43839.0,4,19.41132513272585,3,89765640.75,18.31271285148448
3110293,삼선중학교,329716209.75,53945.0,4,19.61374287501644,8,41214526.21875,17.534301354566985
3110295,정릉우체국,166880443.25,26381.25,4,18.932788211305716,5,33376088.65,17.32335032284087
3110297,경동고등학교,904305374.0,125811.0,4,20.622677665517,4,226076343.5,19.23638330771457
3110299,정릉역 1번,473782252.5,61184.5,4,19.976258393309976,5,94756450.5,18.366820489318574
3110303,성신여대입구역 1번,340712008.75,49805.5,4,19.646548132230052,5,68142401.75,18.037110231536076
3110304,보문역 4번,1283434257.0,205767.25,4,20.97280533608323,5,256686851.4,19.363367426765766
3110312,안암역 2번,324916757.25,66865.5,4,19.59907957902597,7,46416679.60714286,17.65316944843693
3110313,안암역 3번,1228895826.25,126640.75,4,20.929381901732743,7,175556546.60714287,18.983471757559865
3110317,종암중학교,621799475.25,105392.25,4,20.248128213275933,6,103633245.875,18.456368752089055
3110318,KT월곡지사,236234140.0,34342.5,2,19.28033399404261,3,78744713.33333333,18.181721713840677
3110325,장곡초등학교,499397521.0,61613.25,4,20.02891297384329,7,71342503.0,18.083002836802454
3110328,상월곡역 3번,370810768.0,49988.0,4,19.731202433844818,3,123603589.33333333,18.632590150570294
3110335,석계역 7번,1303648028.0,184056.25,4,20.98843234760584,4,325912007.0,19.602137988787184
3110341,북한산우이역 2번,581072289.0,97164.75,4,20.18038573048415,3,193690763.0,19.081773445257955
3110342,국립재활원,124664668.25,15729.75,4,18.64113804452352,2,62332334.125,17.94799087198509
3110343,무너미어린이공원,59541168.25,9812.0,4,17.902178551417528,5,11908233.65,16.292740706163833
3110346,4.19민주묘지역 2번,242151293.75,34358.5,4,19.30507327369164,2,121075646.875,18.611926097261343
3110348,강북문화예술회관,150260851.25,21784.0,4,18.82788335672469,4,37565212.8125,17.441589015570077
3110352,수유1동주민센터,334990413.0,40626.75,4,19.629612474454557,5,66998082.6,18.020174573961093
3110353,수유동우체국,36000000.0,4089.25,4,17.399029524198163,2,18000000.0,16.705882371415992
3110360,수유초등학교,575171467.0,76880.0,4,20.17017875952468,6,95861911.16666667,18.378419298989684
3110361,삼양사거리역 1번,133694289.5,17430.25,4,18.711066337345827,4,33423572.375,17.324771998665188
3110362,우이천 계성교,694913036.75,97704.25,4,20.35929727016065,5,138982607.35,18.74985936348266
3110364,미아역 8번,516008255.25,74950.5,4,20.06163332380233,6,86001375.875,18.26987386426404
3110365,미아역 5번,477652390.25,66793.75,4,19.98439381094851,4,119413097.5625,18.59809945610934
3110366,광산사거리,212005883.5,27466.0,2,19.172124589326536,4,53001470.875,17.785830242357196
3110367,강북구청,448262469.5,60598.0,4,19.92088949047525,4,112065617.375,18.53459513604787
3110369,성신여대운정그린캠퍼스,362720551.5,55787.0,4,19.70914326793583,8,45340068.9375,17.6297017455546
3110370,도봉세무서,316961394.0,42341.25,4,19.5742905420911,4,79240348.5,18.187996190436085
3110372,강북중학교,141350236.25,21596.75,4,18.766751320560196,3,47116745.416666664,17.668139046041336
3110376,수송초등학교,673514295.0,95849.0,4,20.32801978001852,8,84189286.875,18.248578248731928
3110383,덕성여대시반거리,722260455.0,118764.75,4,20.39789637418748,3,240753485.0,19.299284088288456
3110387,쌍문초등학교,788232389.25,97475.5,4,20.48530351582908,5,157646477.85,18.875865608469624
3110390,방학초등학교,299708416.75,33174.5,4,19.518320619146373,4,74927104.1875,18.13202626803621
3110394,방학중학교,315849211.0,43459.0,4,19.57077548045072,5,63169842.2,17.96133758068089
3110396,쌍문역1번(쌍리단길),2064974826.5,383715.25,4,21.448383873212467,5,412994965.3,19.83894596271544
3110397,도봉산입구,1496787501.25,212243.75,4,21.126586983243385,6,249464583.54166666,19.334827517355816
3110398,쌍문2동우체국,331895647.75,47990.75,4,19.62033116648073,5,66379129.55,18.010893266098613
3110399,창2동주민센터,1043343417.5,140144.0,4,20.765696219077576,8,130417927.1875,18.686254684106938
3110402,도봉구 정병원,360639655.0,46526.0,4,19.703389834955427,6,60106609.166666664,17.911630379591625
3110403,방학1동주민센터,1195935249.75,159922.25,4,20.902194352840432,7,170847892.82142857,18.956284208802114
3110404,신창초등학교,254929476.25,31953.25,4,19.356497505069065,9,28325497.361111112,17.159272959114073
3110405,방학역 1번,672061420.25,86627.0,4,20.32586029498028,8,84007677.53125,18.246418763716157
3110406,도봉산역 1번,605736742.5,87827.0,4,20.221956032980664,3,201912247.5,19.12334374761432
3110407,도봉역 2번,1151315621.75,146738.75,4,20.86417114521221,8,143914452.71875,18.784729609612373
3110408,가인초등학교,670327785.5,93091.5,4,20.323277384295643,4,167581946.375,18.936983027651177
3110409,창동역 2번,162558907.75,21776.75,4,18.90655100942585,3,54186302.583333336,17.80793873306098
3110410,방학역 2번,629861048.0,92640.25,4,20.261009795880693,7,89980149.71428572,18.31509965635129
3110415,수락산역 4번,961424114.75,136967.25,4,20.68392619710163,10,96142411.475,18.3813411134687
3110416,노원초등학교,394336218.25,52209.75,4,19.792714451717764,2,197168109.125,19.099567273693726
3110419,수락산디자인거리,372958942.5,54626.25,4,19.73697890050425,9,41439882.5,17.539754344618114
3110420,광운대역 1번,376907887.75,45495.0,4,19.74751138863652,2,188453943.875,19.054364210729744
3110421,석계역 1번,388914653.25,55471.25,4,19.77887047969659,2,194457326.625,19.0857233017079
3110423,석계역 2번,159873133.75,27149.25,4,18.889891150867932,6,26645522.291666668,17.09813171291468
3110425,계상초등학교,406212887.25,53338.5,4,19.822387935435373,3,135404295.75,18.72377565169079
3110428,상계5동주민센터,58567527.5,8644.5,2,17.885690979804963,4,14641881.875,16.499396669907995
3110429,공릉동 국수거리,963781396.0,133881.25,4,20.68637506026188,9,107086821.77777778,18.489150491226294
3110431,상계역,472844087.0,72800.0,1,19.97427626843973,3,157614695.66666666,18.87566398400135
3110438,경춘선숲길 우측,753191855.25,112085.25,4,20.439830542487545,6,125531975.875,18.648071079897903
3110439,당고개역 5번,779096685.5,118668.5,4,20.47364571230783,4,194774171.375,19.087351355038553
3110446,내를건너서숲으로도서관,99000000.0,13470.0,1,18.410630418199872,2,49500000.0,17.71748324774094
3110450,시립서북병원,1838011662.5,239322.5,4,21.33195020661603,7,262573094.64285713,19.386040060825113
3110452,새절역 3번,232596885.5,40663.25,4,19.264817412318664,4,58149221.375,17.878523064096626
3110453,신사1동주민센터,811486911.5,119883.75,4,20.51437881724728,5,162297382.3,18.904940909742404
3110454,선정중학교,439491672.75,57149.75,4,19.901129330086388,3,146497224.25,18.80251704596899
3110456,구산보건지소,886875990.5,115970.5,4,20.60321572384836,5,177375198.1,18.99377781592447
3110457,예일여고,351964213.0,45356.5,4,19.679040063621432,3,117321404.33333333,18.580427780635716
3110458,선일여고,187863571.5,26516.25,4,19.051226579170866,6,31310595.25,17.259467136557866
3110460,구산역 4번,760814721.75,107882.5,4,20.44990042067751,5,152162944.35,18.84046251350093
3110465,연신내역 7번,350589925.6666667,54127.0,3,19.675127798340604,2,175294962.83333334,18.981980620632992
3110466,구산역 2번,375207207.75,52446.25,4,19.742988987998128,4,93801801.9375,18.35669463487382
3110467,은평요양병원,408238947.25,54032.25,4,19.82736321841352,4,102059736.8125,18.441068864642265
3110468,응암역 3번,1109902615.5,142305.0,4,20.827538115539017,12,92491884.625,18.342631475661797
3110469,응암정보도서관,1636660570.0,204820.25,4,21.215923765637875,7,233808652.85714287,19.270013620248566
3110472,연신내역 4번,175791343.5,22986.0,4,18.98480830707722,4,43947835.875,17.598513963023017
3110473,구산역 1번,350602622.25,44715.0,4,19.675164012596834,7,50086088.89285714,17.729253880654912
3110474,세명컴퓨터고등학교,201394037.5,26427.25,4,19.120773937512723,5,40278807.5,17.511336044940183
3110475,백련산해모로아파트,638208022.75,83451.5,4,20.27417484419883,4,159552005.6875,18.8878804877796
3110477,은평세무서,68919576.0,10755.25,4,18.048450832054385,4,17229894.0,16.66215651446349
3110480,연신내역 3번,88135868.5,12024.0,4,18.2943901533347,3,29378622.833333332,17.195777887358826
3110481,불광역 7번,137442706.0,20303.75,4,18.738717711873544,3,45814235.333333336,17.640105437756954
3110483,연천초등학교,156988351.0,22921.75,4,18.871682169477484,3,52329450.333333336,17.773069893549174
3110484,역촌역 3번,511515287.25,65408.0,4,20.052888031961096,8,63939410.90625,17.973446503966088
3110495,북가좌2동주민센터,245808527.5,30856.0,4,19.32006345140234,3,81936175.83333333,18.221451170870644
3110498,증산역 1번,1015957764.5,139566.75,4,20.739097615848905,3,338652588.1666667,19.64048532914938
3110499,연가초등학교,533704048.5,68034.5,4,20.09535202887141,3,177901349.5,18.9967397439507
3110502,남가좌파출소,959299821.25,139758.25,4,20.6817142244968,5,191859964.25,19.072276316232408
3110503,명지대학교교회,236970901.25,49726.0,4,19.283447916245443,9,26330100.138888888,17.08622337266864
3110507,명지대학교,364883609.25,55517.25,4,19.7150889846676,14,26063114.94642857,17.076031690680136
3110508,서연중학교,152566792.25,20008.25,4,18.843113046647357,1,152566792.25,18.843113046647353
3110511,연희초등학교,1042299183.25,164674.5,4,20.76469486406509,7,148899883.32142857,18.818784720766285
3110514,서대문우체국,81377118.25,13521.75,4,18.21460470116465,6,13562853.041666666,16.422845293378924
3110519,서대문구보건소별관,435882348.25,60522.5,4,19.892882923729903,5,87176469.65,18.28344502047259
3110520,경의중앙 신촌역,30947116.666666668,4375.666666666667,3,17.247790424055925,1,30947116.666666668,17.247790424055925
3110522,홍제역 3번,63154937.0,10455.0,1,17.96110159847807,2,31577468.5,17.267954433752198
3110526,봉원사,116644624.25,17032.5,4,18.57464247950221,3,38881541.416666664,17.476030207980195
3110527,홍제역 2번,548131966.5,88946.5,4,20.122026632526463,3,182710655.5,19.02341434750711
3110529,홍제3동주민센터,737438206.5,110444.75,4,20.41869285622729,4,184359551.625,19.03239849917554
3110537,충정로현대아파트,1215057278.0,195738.75,4,20.918057055837597,3,405019092.6666667,19.819444768815497
3110538,충정로역 3번,157157724.0,25671.0,1,18.8727604768562,2,78578862.0,18.179613302659288
3110539,미근동,133415833.5,22660.5,4,18.70898138380188,2,66707916.75,18.0158342107373
3110541,동교초등학교,470688614.0,60379.75,4,19.969707318698354,5,94137722.8,18.360269414762442
3110542,마포구청역 7번,437408282.0,69055.75,4,19.896377602927505,6,72901380.33333333,18.104618145130416
3110544,망리단길,823173368.5,114274.25,4,20.528677391985138,14,58798097.75,17.88962007816242
3110545,마포구청역 1번,1747894001.75,219394.5,4,21.28167747318209,8,218486750.21875,19.202235935507073
3110546,양화대교북단,1413417103.75,122016.75,4,21.06927608799441,4,353354275.9375,19.68298172899704
3110549,새터산,152249079.75,22680.0,4,18.84102842676922,3,50749693.25,17.74241615123748
3110550,합정역 8번,181911867.0,27040.5,4,19.019032885999923,9,20212429.666666668,16.821808352641042
3110551,성서초등학교,301821068.75,40526.75,4,19.52534491547945,6,50303511.458333336,17.73358546281751
3110552,성미산체육관,241762993.25,47668.0,4,19.303468441628752,5,48352598.65,17.69403054573978
3110554,망원역 1번,205000400.0,32821.25,4,19.13852249319833,4,51250100.0,17.752228146712557
3110557,홍대부속여중고앞,700279720.5,102258.0,4,20.366990415330864,3,233426573.5,19.268378129518755
3110558,경성고등학교,924481634.25,134669.25,4,20.644743744072787,10,92448163.425,18.34215866081393
3110561,상수역 4번,318292377.25,46621.75,4,19.57848094678813,4,79573094.3125,18.19218659509353
3110562,연트럴파크(연남동주민센터),484778404.25,73856.0,4,19.999202448101045,7,69254057.75,18.05329231142252
3110566,경의선책거리,1090574364.75,174314.25,4,20.809970335457823,9,121174929.41666667,18.612745765457188
3110568,광흥창역 1번,963426204.75,138876.25,4,20.686006453108693,5,192685240.95,19.07656854482644
3110569,홍대땡땡거리,334837043.0,42275.75,4,19.62915453562016,2,167418521.5,18.93600735804674
3110576,대흥역 3번,293098083.0,49539.333333333336,3,19.496017868641676,3,97699361.0,18.397405586797216
3110578,대흥역 2번,262885675.75,46991.75,4,19.38722980647382,8,32860709.46875,17.307788291421527
3110579,마포역 4번,402110499.0,61408.0,1,19.812237484433805,1,402110499.0,19.812237484433805
3110582,이대역 5번,877355446.75,137283.0,4,20.59242276782567,4,219338861.6875,19.20612841012515
3110586,서울서부지방법원,266621898.75,38300.75,4,19.40134210693385,2,133310949.375,18.708194930124534
3110587,공덕동주민센터,63682064.75,9620.5,4,17.96941353851571,5,12736412.95,16.359975688893638
3110593,신월3동주민센터,1091358094.5,127395.0,4,20.81068871679879,7,155908299.2142857,18.864778573241214
3110594,신월중학교,143255020.0,20241.0,4,18.780136963555684,3,47751673.333333336,17.681524688848693
3110596,서서울호수공원,344876430.25,58290.25,4,19.65869674054748,4,86219107.5625,18.27240238812636
3110597,신월1동주민센터,116707402.25,16973.0,4,18.575180533548004,7,16672486.035714285,16.629270435903308
3110598,신월문화체육센터,581749192.75,77855.0,4,20.18154997424112,7,83107027.53571428,18.235639835499526
3110600,신월7동주민센터,282164356.0,34203.75,4,19.45800028536627,4,70541089.0,18.071705934878484
3110601,신월1동우편취급국,525911983.75,64908.25,4,20.08064442732824,6,87651997.29166667,18.28888496760748
3110604,신월4동주민센터,565952759.0,78717.75,4,20.15402116978671,4,141488189.75,18.767726813967613
3110606,신한은행 신월동지점,1074410130.75,134383.75,4,20.795037633275896,5,214882026.15,19.18559972456477
3110611,신정역 1번,467881102.0,61392.75,4,19.96372476818608,4,116970275.5,18.577430413478076
3110612,신정역 5번,943268610.0,134026.0,4,20.66486164733231,8,117908576.25,18.585420113073475
3110615,신서초등학교,953624487.75,150189.75,4,20.67578053426232,1,953624487.75,20.67578053426232
3110618,강서고등학교,860356446.5,119891.0,4,20.572857335178483,3,286785482.1666667,19.47424504883499
3110620,목동보건지소,154653788.5,20353.75,4,18.856699560513213,5,30930757.7,17.247261673943335
3110625,신정2동주민센터,263173517.0,47713.0,2,19.38832413685184,3,87724505.66666667,18.289711855783278
3110626,양화초등학교,67078716.75,10313.25,4,18.021377379501043,3,22359572.25,16.92276512064865
3110627,신정롯데캐슬아파트,564484090.0,80975.75,4,20.1514227586945,3,188161363.33333334,19.05281047356945
3110631,방화초등학교,104500719.0,12965.0,1,18.46470451929756,2,52250359.5,17.771557348306924
3110634,송정역 3번,665119506.25,93564.25,4,20.31547729262457,7,95017072.32142857,18.369567152590193
3110637,송정역 2번,259269818.0,43315.25,4,19.373379849596507,3,86423272.66666667,18.274767568642368
3110638,신방화역 2번,1452097340.25,223541.0,4,21.096274790530348,6,242016223.375,19.304515324745587
3110640,방화역 1번,477481251.25,68146.25,4,19.98403545481061,5,95496250.25,18.3745975507538
3110645,우장산역 4번,510867049.5,76609.25,4,20.051619939169782,4,127716762.375,18.66532558392226
3110646,푸른들청소년도서관,414190923.0,62047.75,4,19.84183759456593,9,46021213.666666664,17.64461303654448
3110647,화곡역 5번,524387778.25,68770.5,4,20.077742005329792,3,174795926.08333334,18.979129720475655
3110648,양천향교역 7번,1691205083.5,212916.0,4,21.248707179520856,11,153745916.6818182,18.85081191263543
3110649,우장산역 1번,1053538538.75,154147.5,4,20.77542037312126,2,526769269.375,20.0822731935105
3110651,화원중학교,1113013394.5,147148.75,4,20.83033694465706,6,185502232.41666666,19.038577479921315
3110652,양천향교역 2번,137553758.5,22087.75,4,18.739525376840664,6,22925626.416666668,16.947765943962033
3110653,화곡역 2번,1520751921.6666667,195758.66666666663,3,21.142470735452743,2,760375960.8333334,20.449323555550368
3110654,까치산역 4번,1509745450.5,194648.75,4,21.135206898397293,11,137249586.4090909,18.737311632222553
3110655,발산역 5번,282000000.0,22235.0,4,19.45741763244849,4,70500000.0,18.071123281966894
3110656,까치산역 3번,3032817478.0,352200.25,4,21.832757885470816,14,216629819.85714287,19.193700560142
3110657,양천향교역 5번,121436276.75,18781.0,4,18.614900220203108,5,24287255.35,17.005462340708096
3110658,화곡초등학교,710994891.0,91992.0,4,20.38217580349417,7,101570698.71428572,18.436265662877734
3110659,화곡역 4번,686498955.5,93889.5,4,20.34711526314201,16,42906184.71875,17.574526562752226
3110660,등촌3동주민센터,437456298.5,77309.75,4,19.89648737191577,7,62493756.928571425,17.95057723657612
